X-Coordinate,Y-Coordinate,Diameter,Angle-Psi,Origin X (Ang),Origin Y (Ang),Defocus U,Defocus V,Defocus Angle,Phase Shift,CTF B Factor
1279,1620,142,51.42857,0.0,3.16056,11082.842773,10680.859375,-3.544348,0.0,0.0
1841,3475,142,22.040813,0.0,0.0,11161.709961,10759.726562,-3.544348,0.0,0.0
2900,3191,142,139.591827,0.0,3.16056,11187.930664,10785.947266,-3.544348,0.0,0.0
2367,704,142,66.122444,0.0,3.16056,11056.039062,10654.055664,-3.544348,0.0,0.0
1265,2075,142,279.183655,-3.16056,0.0,11100.176758,10698.193359,-3.544348,0.0,0.0
3291,1556,142,345.306091,-3.16056,3.16056,11172.048828,10770.06543,-3.544348,0.0,0.0
1130,2289,142,36.734692,3.16056,0.0,11100.245117,10698.261719,-3.544348,0.0,0.0
3319,3021,142,242.448975,0.0,0.0,11183.852539,10781.869141,-3.544348,0.0,0.0
2452,249,142,191.020401,3.16056,-3.16056,11019.507812,10617.524414,-3.544348,0.0,0.0
1507,2303,142,110.204079,0.0,0.0,11123.708008,10721.724609,-3.544348,0.0,0.0
135,633,142,58.775509,3.16056,3.16056,10958.762695,10556.779297,-3.544348,0.0,0.0
235,995,142,183.673462,3.16056,0.0,10976.129883,10574.146484,-3.544348,0.0,0.0
3170,2893,142,242.448975,0.0,0.0,11177.844727,10775.861328,-3.544348,0.0,0.0
2239,1002,142,7.346939,0.0,3.16056,11076.024414,10674.041016,-3.544348,0.0,0.0
945,2601,142,58.775509,0.0,3.16056,11104.325195,10702.341797,-3.544348,0.0,0.0
1699,2921,142,73.469383,0.0,0.0,11152.569336,10750.585938,-3.544348,0.0,0.0
2161,3049,142,161.632645,0.0,0.0,11170.249023,10768.265625,-3.544348,0.0,0.0
1599,1926,142,235.102036,0.0,3.16056,11113.401367,10711.417969,-3.544348,0.0,0.0
746,2353,142,315.918365,0.0,0.0,11080.876953,10678.893555,-3.544348,0.0,0.0
426,2033,142,249.795898,3.16056,0.0,11043.00293,10641.019531,-3.544348,0.0,0.0
974,1215,142,161.632645,-3.16056,0.0,11046.750977,10644.767578,-3.544348,0.0,0.0
1514,2154,142,102.85714,0.0,-3.16056,11118.333984,10716.350586,-3.544348,0.0,0.0
3177,3298,142,0.0,0.0,-3.16056,11201.300781,10799.317383,-3.544348,0.0,0.0
1905,235,142,95.510201,3.16056,-3.16056,11016.246094,10614.262695,-3.544348,0.0,0.0
3319,1222,142,139.591827,0.0,0.0,11166.142578,10764.15918,-3.544348,0.0,0.0
2118,881,142,88.163254,0.0,0.0,11064.280273,10662.296875,-3.544348,0.0,0.0
2772,1628,142,66.122444,-3.16056,0.0,11144.374023,10742.390625,-3.544348,0.0,0.0
583,512,142,0.0,0.0,0.0,10989.892578,10587.90918,-3.544348,0.0,0.0
512,1180,142,183.673462,-3.16056,0.0,11008.352539,10606.369141,-3.544348,0.0,0.0
576,2452,142,7.346939,0.0,0.0,11077.482422,10675.499023,-3.544348,0.0,0.0
1926,1798,142,315.918365,-3.16056,0.0,11121.999023,10720.015625,-3.544348,0.0,0.0
2864,2765,142,51.42857,0.0,0.0,11178.446289,10776.462891,-3.544348,0.0,0.0
661,3518,142,176.326508,3.16056,0.0,11154.697266,10752.713867,-3.544348,0.0,0.0
1947,2580,142,330.612244,-3.16056,0.0,11157.408203,10755.424805,-3.544348,0.0,0.0
2480,1784,142,227.755096,-3.16056,0.0,11141.741211,10739.757812,-3.544348,0.0,0.0
3454,2466,142,7.346939,-3.16056,0.0,11153.112305,10751.128906,-3.544348,0.0,0.0
3454,874,142,330.612244,-3.16056,0.0,11149.268555,10747.285156,-3.544348,0.0,0.0
3667,249,142,301.224457,0.0,-3.16056,11052.042969,10650.05957,-3.544348,0.0,0.0
945,2367,142,132.244888,6.32112,-3.16056,11092.80957,10690.826172,-3.544348,0.0,0.0
1628,1692,142,36.734692,-3.16056,0.0,11103.333008,10701.349609,-3.544348,0.0,0.0
1286,718,142,279.183655,0.0,-3.16056,11038.128906,10636.145508,-3.544348,0.0,0.0
2019,974,142,249.795898,0.0,-3.16056,11069.144531,10667.161133,-3.544348,0.0,0.0
633,1215,142,161.632645,3.16056,3.16056,11020.34668,10618.363281,-3.544348,0.0,0.0
3028,3561,142,154.285706,0.0,0.0,11207.03418,10805.050781,-3.544348,0.0,0.0
1699,1322,142,352.653015,-3.16056,-3.16056,11085.228516,10683.245117,-3.544348,0.0,0.0
355,2957,142,293.877533,-3.16056,-6.32112,11104.670898,10702.6875,-3.544348,0.0,0.0
2736,3156,142,102.85714,0.0,0.0,11183.738281,10781.754883,-3.544348,0.0,0.0
1876,2999,142,220.408157,0.0,0.0,11160.706055,10758.722656,-3.544348,0.0,0.0
2317,2921,142,88.163254,0.0,3.16056,11174.976562,10772.993164,-3.544348,0.0,0.0
1578,1322,142,95.510201,-3.16056,0.0,11081.554688,10679.571289,-3.544348,0.0,0.0
1777,1585,142,58.775509,0.0,-3.16056,11103.464844,10701.481445,-3.544348,0.0,0.0
1798,1741,142,330.612244,0.0,3.16056,11113.37207,10711.388672,-3.544348,0.0,0.0
583,3475,142,264.489777,0.0,0.0,11150.416992,10748.433594,-3.544348,0.0,0.0
2168,633,142,124.897949,-3.16056,-3.16056,11046.673828,10644.69043,-3.544348,0.0,0.0
3241,1123,142,249.795898,0.0,0.0,11151.786133,10749.802734,-3.544348,0.0,0.0
2239,1748,142,168.979584,0.0,0.0,11130.807617,10728.824219,-3.544348,0.0,0.0
1436,178,142,36.734692,3.16056,3.16056,11008.665039,10606.681641,-3.544348,0.0,0.0
1791,711,142,102.85714,-3.16056,0.0,11047.9375,10645.954102,-3.544348,0.0,0.0
3497,2935,142,308.571411,-3.16056,3.16056,11174.761719,10772.77832,-3.544348,0.0,0.0
2495,2516,142,161.632645,3.16056,0.0,11174.207031,10772.223633,-3.544348,0.0,0.0
2139,2559,142,315.918365,0.0,0.0,11165.363281,10763.379883,-3.544348,0.0,0.0
2345,1507,142,80.816322,-3.16056,0.0,11117.780273,10715.796875,-3.544348,0.0,0.0
1642,3440,142,227.755096,3.16056,0.0,11159.758789,10757.775391,-3.544348,0.0,0.0
760,3348,142,51.42857,0.0,-3.16056,11143.949219,10741.96582,-3.544348,0.0,0.0
